Hovedkategori,Aktivitetskode,MET-værdi,Aktivitetsbeskrivelse (Dansk)
Sport og idræt,15395,7.3,"Ridning, galop"
Sport og idræt,15400,3.8,"Ridning, skridt"
Sport og idræt,15402,9,"Ridning, springning"
Sport og idræt,15403,6,"Ridning, reining (western)"
Sport og idræt,15406,2.1,"Ridning, simulator"
Sport og idræt,15408,1.8,"Kørsel med hestevogn, stående eller siddende"
Sport og idræt,15410,3,Hesteskokast
Sport og idræt,15420,12,Jai alai
Sport og idræt,15425,5.3,"Kampsport, forskellige typer, langsomt tempo, begyndere, træning"
Sport og idræt,15430,10.3,"Kampsport, moderat tempo (f.eks. judo, jujitsu, karate, kickboxing, taekwondo)"
Sport og idræt,15432,14.3,"Taekwondo, kampsimulering"
Sport og idræt,15433,11.3,Judo
Sport og idræt,15440,4,Jonglering
Sport og idræt,15444,6.5,"Kendo, kihon-keiko, moderat intensitet"
Sport og idræt,15445,9.6,"Kendo, kirikaeshi, høj intensitet"
Sport og idræt,15446,11.3,"Kendo, kakari keiko, meget høj intensitet"
Sport og idræt,15450,7,Kickball
Sport og idræt,15455,5.5,Kung Fu gymnastik
Sport og idræt,15457,7.3,Kickboxing
Sport og idræt,15460,8,Lacrosse
Sport og idræt,15465,3.3,"Lawn bowling, boccia, udendørs"
Sport og idræt,15470,4,"Motocross, off-road motorsport, ATV, generelt"
Sport og idræt,15475,5.3,"Motorcykelløb, Supermoto"
Sport og idræt,15477,7,Netball
Sport og idræt,15480,9,Orienteringsløb
Sport og idræt,15490,10,"Paddleball, konkurrence"
Sport og idræt,15500,6,"Paddleball, fritid, generelt (Taylor-kode 460)"
Sport og idræt,15503,1.8,"Paragliding, moderat højde"
Sport og idræt,15506,6.5,Klatring med Prusik-knude
Sport og idræt,15510,8,"Polo, til hest"
Sport og idræt,15520,10,"Racquetball, konkurrence"
Sport og idræt,15525,10.3,"Kapgang, 11,1 km/t"
Sport og idræt,15527,13.8,"Kapgang, 13,3 km/t"
Sport og idræt,15528,15.5,"Kapgang, konkurrencehastighed, 14,4 km/t"
Sport og idræt,15530,7,"Racquetball, generelt (Taylor-kode 470)"
Sport og idræt,15533,8,Klippe- eller bjergklatring (Taylor-kode 060)
Sport og idræt,15534,8.8,"Klippeklatring, bouldering"
Sport og idræt,15535,7.3,"Klippeklatring, opstigning, høj sværhedsgrad"
Sport og idræt,15536,10.5,"Klippeklatring, speedklatring, meget svær"
Sport og idræt,15537,5.8,"Klippeklatring, opstigning eller traversering, let til moderat sværhedsgrad"
Sport og idræt,15538,10.5,"Klippeklatring, klatrevæg med rullebånd (treadwall), 4-6 m/min"
Sport og idræt,15539,10.5,"Klippeklatring, klatrevæg med rullebånd, 7-10 m/min"
Sport og idræt,15540,5,"Klippeklatring, rappelling"
Sport og idræt,15542,4,"Rodeo, generelt, let indsats"
Sport og idræt,15544,5.5,"Rodeo, generelt, moderat indsats"
Sport og idræt,15546,7,"Rodeo, generelt, hård indsats"
Sport og idræt,15550,12.3,"Sjippe, højt tempo, 120-160 hop/min"
Sport og idræt,15551,11.8,"Sjippe, moderat tempo, generelt, 100-120 hop/min, samlede ben"
Sport og idræt,15552,8.3,"Sjippe, langsomt tempo, <100 hop/min, samlede ben, rytmisk hop"
Sport og idræt,15554,10,"Sjippe, double unders eller mere"
Sport og idræt,15560,8.3,"Rugby, hold, konkurrence"
Sport og idræt,15562,6.3,"Rugby, touch, fritid"
Sport og idræt,15570,3,Shuffleboard
Sport og idræt,15580,5,"Skateboarding, generelt, moderat indsats"
Sport og idræt,15582,6,"Skateboarding, konkurrence, hård indsats"
Sport og idræt,15590,7,Rulleskøjteløb (Taylor-kode 360)
Sport og idræt,15591,7.5,"Rulleskøjteløb, inliners, 14,4 km/t, fritidstempo"
Sport og idræt,15592,9.8,"Rulleskøjteløb, inliners, 17,7 km/t, moderat tempo, træning"
Sport og idræt,15593,12.3,"Rulleskøjteløb, inliners, 21,0 - 21,7 km/t, højt tempo, træning"
Sport og idræt,15594,15.5,"Rulleskøjteløb, inliners, 24,0 km/t, maksimal indsats"
Sport og idræt,15595,6.8,"Skateboard, longboard, 13,3 km/t, langsom hastighed"
Sport og idræt,15596,8.3,"Skateboard, longboard, 16,2 km/t, normal hastighed"
Sport og idræt,15597,10.5,"Skateboard, longboard, 18,4 km/t, høj hastighed"
Sport og idræt,15600,3.5,"Faldskærmsudspring, basejumping, bungyjump"
Sport og idræt,15605,9.5,"Fodbold, konkurrence"
Sport og idræt,15610,7,"Fodbold, fritid, generelt (Taylor-kode 540)"
Sport og idræt,15615,3.5,Gå-fodbold
Sport og idræt,15620,5,"Softball eller baseball, generelt, moderat indsats (Taylor-kode 440)"
Sport og idræt,15625,4,"Softball, træning"
Sport og idræt,15630,4,"Softball, dommergerning"
Sport og idræt,15640,6,"Softball, pitching"
Sport og idræt,15645,3.3,"Tilskuer til sport, meget begejstret, følelsesladet, fysisk urolig"
Sport og idræt,15650,12,Squash (Taylor-kode 530)
Sport og idræt,15652,7.3,"Squash, generelt"
Sport og idræt,15660,4,Bordtennis (Taylor-kode 410)
Sport og idræt,15670,3.3,"Tai chi, qi gong, generelt"
Sport og idræt,15672,1.5,"Tai chi, qi gong, siddende, let indsats"
Sport og idræt,15674,6,"Tai chi chuan, Yang-stil"
Sport og idræt,15675,6.8,"Tennis, generelt, moderat indsats"
Sport og idræt,15676,8,"Tennis, generelt, konkurrence"
Sport og idræt,15680,6,"Tennis, double (Taylor-kode 430)"
Sport og idræt,15685,4.5,"Tennis, double"
Sport og idræt,15690,8,"Tennis, single (Taylor-kode 420)"
Sport og idræt,15695,5,"Tennis, slå til bolde, ikke kamp, moderat indsats"
Sport og idræt,15700,6.3,"Trampolin, fritid"
Sport og idræt,15702,10.3,"Trampolin, konkurrence"
Sport og idræt,15710,4,Volleyball (Taylor-kode 400)
Sport og idræt,15711,6,"Volleyball, konkurrence, i idrætshal"
Sport og idræt,15720,3,"Volleyball, ikke-konkurrence, hold af 6-9, generelt"
Sport og idræt,15725,8,"Beachvolley, i sand"
Sport og idræt,15730,6,"Brydning, konkurrence (1 kamp = 5 minutter)"
Sport og idræt,15731,7,"Wallyball, generelt"
Sport og idræt,15732,4,"Atletik (f.eks. kuglestød, diskoskast, hammerkast)"
Sport og idræt,15733,6,"Atletik (f.eks. højdespring, længdespring, trespring, spydkast, stangspring)"
Sport og idræt,15734,10,"Atletik (f.eks. forhindringsløb, hækkeløb)"
Transport,16002,6.8,"Cykling som transport, moderat indsats"
Transport,16004,9.3,"Cykling som transport, hård indsats"
Transport,16005,6.8,Elcykel som transport
Transport,16010,2,Kørsel i bil eller varevogn (ikke lastbil)
Transport,16015,1.3,Passager i bil eller varevogn
Transport,16016,1.3,Passager i bus eller tog
Transport,16020,1.8,Flyve fly eller helikopter
Transport,16030,2.8,"Scooter, motorcykel"
Transport,16035,6.3,Trække rickshaw
Transport,16040,6,Skubbe fly ind/ud af hangar
Transport,16050,2.5,"Lastbil, traktor (≥1 ton) eller bus, kørsel"
Transport,16060,3.5,"Gang som transport, 4,5-5,1 km/t, fladt terræn, moderat tempo, fast underlag"
Gang,17010,7,Vandring med rygsæk / Backpacking (Taylor-kode 050)
Gang,17011,3.5,"Gå med dagsrygsæk, fladt terræn, i by"
Gang,17012,7.8,"Vandring/hiking med dagsrygsæk, organiseret gang med dagsrygsæk"
Gang,17016,4,"Bære 2,3 - 6,4 kg byrde (kuffert, kasser, indkøb), fladt terræn, moderat tempo"
Gang,17018,4.5,"Bære 6,8 - 70 kg byrde (kuffert, møbler), fladt terræn eller ned ad trapper, langsomt tempo"
Gang,17019,6.5,"Bære 22 - 68 kg byrde, fladt terræn, moderat tempo"
Gang,17021,2.3,"Bære ca. 4,5 kg barn, langsom gang"
Gang,17025,8.3,"Bære byrde op ad trapper, generelt"
Gang,17026,5.5,"Bære byrde, 0,5 - 6,8 kg, op ad trapper"
Gang,17027,6,"Bære byrde, 7,2 - 10,8 kg, op ad trapper"
Gang,17028,8,"Bære byrde, 11,3 - 22,2 kg, op ad trapper"
Gang,17029,10,"Bære byrde, 22,6 - 33,5 kg, op ad trapper"
Gang,17030,12,"Bære byrde, >33,5 kg, op ad trapper"
Gang,17031,3.8,"Læsse i og/eller ud af en bil, med gang"
Gang,17032,5,"Gå op ad bakker, uden byrde, 5-20% stigning, meget langsomt tempo"
Gang,17033,3.8,"Gå op ad bakker, 6,8 - 22,6 kg byrde, 1-2% stigning, langsomt tempo"
Gang,17034,5.3,"Gå op ad bakker, uden byrde, 1-5% stigning, moderat til rask tempo"
Gang,17035,7,"Gå op ad bakker, uden byrde, 6-10% stigning, moderat til rask tempo"
Gang,17036,8.8,"Gå op ad bakker, uden byrde, 11-20% stigning, langsomt til moderat tempo"
Gang,17037,10,"Gå op ad bakker, uden byrde, 6,4 - 8,0 km/t, 3-5% stigning, meget højt tempo"
Gang,17038,8.5,"Gå op ad bakker, uden byrde, stejl stigning (30%), langsomt tempo (<1,9 km/t)"
Gang,17039,15.5,"Gå op ad bakker, uden byrde, meget stejl stigning (30-40%), 1,9 - 2,9 km/t"
Gang,17040,16.3,"Gå op ad bakker, uden byrde, stejl stigning (10-40%), 2,9 - 8,0 km/t"
Gang,17045,6.5,"Gå op ad bakker, 4,5 - 9 kg byrde, 5-10% stigning, moderat tempo"
Gang,17050,7.5,"Gå op ad bakker, 9,5 - 18,1 kg byrde, 3-10% stigning, moderat til rask tempo"
Gang,17060,10,"Gå op ad bakker, >9 kg byrde, 5-20% stigning, moderat til rask tempo"
Gang,17070,3.5,Gå ned ad trapper
Gang,17076,4.5,"Bære vand, bæring på hovedet, gå på fladt underlag"
Gang,17080,6,Vandring i terræn (Taylor-kode 040)
Gang,17081,3.8,"Vandring, langsom gang/slentre gennem marker/bakker, ingen byrde"
Gang,17082,5.3,"Vandring/gang i normalt tempo gennem marker/bakker, ingen byrde"
Gang,17085,2.5,"Fuglekiggeri, gående med stop"
Gang,17088,4.5,"March, moderat hastighed, militær, uden oppakning"
Gang,17090,8,"March, rask hastighed, militær, uden oppakning"
Gang,17100,3.8,"Skubbe/trække barnevogn med barn eller gå med børn, 4,0 - 5,0 km/t"
Gang,17105,3.8,"Skubbe en kørestol, fritid"
Gang,17110,6.5,Kapgang
Gang,17130,8,"Trappegang, bruge eller klatre op ad stige (Taylor-kode 030)"
Gang,17131,6.8,"Trappegang, generelt"
Gang,17133,4.5,"Trappegang, langsomt tempo"
Gang,17134,9.3,"Trappegang, rask tempo, ét trin ad gangen"
Gang,17136,7.5,"Trappegang, to trin ad gangen"
Gang,17138,7.5,"Trappegang, gå op og ned ad trapper"
Gang,17140,4.5,"Bruge krykker, fladt terræn, generelt"
Gang,17142,7,"Bruge krykker, højt tempo"
Gang,17145,4.3,Bruge knæscooter/rollator
Gang,17150,2.3,"Gang, i hjemmet"
Gang,17151,2.3,"Gang, under 3,2 km/t, fladt terræn, slentre, meget langsomt"
Gang,17152,2.8,"Gang, 3,2 - 3,9 km/t, fladt terræn, langsomt tempo, fast underlag"
Gang,17160,3.5,Gang for fornøjelsens skyld (Taylor-kode 010)
Gang,17161,2.5,"Gang fra hus til bil/bus, fra bil/bus for at komme rundt, til/fra jobbet"
Gang,17162,2.5,Gang til nabo eller familie af sociale årsager
Gang,17165,3,Gå tur med hunden
Gang,17170,3,"Gang, 4,0 km/t, fast, fladt underlag"
Gang,17180,3.3,"Gang, 4,0 km/t, ned ad bakke"
Gang,17190,3.8,"Gang, 4,5 - 5,5 km/t, fladt terræn, moderat tempo, fast underlag"
Gang,17200,4.8,"Gang, 5,6 - 6,3 km/t, fladt terræn, rask, fast underlag, motionsgang"
Gang,17220,5.5,"Gang, 6,4 - 7,0 km/t, fladt terræn, fast underlag, meget rask tempo"
Gang,17230,7,"Gang, 7,2 - 7,9 km/t, fladt terræn, fast underlag, ekstremt rask tempo"
Gang,17231,8.5,"Gang, 8,0 - 8,9 km/t, fladt terræn, fast underlag"
Gang,17250,3.5,"Gang, for fornøjelse, i pausen på jobbet"
Gang,17255,4,"Gang, selvvalgt hastighed, indendørsbane eller udendørs på fast underlag"
Gang,17260,4.8,"Gang, på græs"
Gang,17262,4.5,"Gang, normalt tempo, på pløjemark eller sand"
Gang,17270,4,"Gang, til job eller skole (Taylor-kode 015)"
Gang,17280,2.5,"Gang, til og fra et udendørs das/toilet"
Gang,17302,4.3,"Motionsgang, 4,0 - 5,6 km/t, med stave (Nordic walking), fladt terræn, moderat tempo"
Gang,17304,5.3,"Motionsgang, 5,8 - 7,1 km/t, med stave (Nordic walking), fladt terræn, moderat tempo"
Gang,17305,8.5,"Motionsgang, 7,2 - 8,0 km/t, med stave (Nordic walking), fladt terræn, hurtigt tempo"
Gang,17310,8.8,"Motionsgang, med stave (Nordic walking), op ad bakke, moderat tempo"
Gang,17313,10.8,"Motionsgang, med stave (Nordic walking), fladt terræn, bære 9 - 15 kg byrde"
Gang,17315,12.3,"Motionsgang, med stave (Nordic walking), op ad bakke, bære 9 - 15 kg byrde"
Gang,17320,6,"Gang, baglæns, 5,6 km/t, fladt terræn"
Gang,17325,7.8,"Gang, baglæns, 5,6 km/t, op ad bakke, 5% stigning"
Gang,17330,8,"Gang, the Teabag walk (Monty Python's Ministry of Silly Walks)"
Gang,17332,3.5,"Gang, the Putey walk (Monty Python's Ministry of Silly Walks)"
Gang,17340,2.1,"Gang, løbebånd, under 1,6 km/t, 0% stigning"
Gang,17343,2.3,"Gang, løbebånd, 1,6 km/t, 0% stigning"
Gang,17346,2.8,"Gang, løbebånd, 1,9 - 3,0 km/t, 0% stigning"
Gang,17349,3,"Gang, løbebånd, 3,2 - 3,9 km/t, 0% stigning"
Gang,17352,3.5,"Gang, løbebånd, 4,0 - 4,7 km/t, 0% stigning"
Gang,17355,3.8,"Gang, løbebånd, 4,8 - 5,5 km/t, 0% stigning"
Gang,17358,4.8,"Gang, løbebånd, 5,6 - 6,3 km/t, 0% stigning"
Gang,17361,5.8,"Gang, løbebånd, 6,4 - 7,1 km/t, 0% stigning"
Gang,17364,6.8,"Gang, løbebånd, 7,2 - 7,9 km/t, 0% stigning"
Gang,17367,8.3,"Gang, løbebånd, 8,0 - 8,9 km/t, 0% stigning"
Cykling,1003,14,"Cykling, mountainbike, op ad bakke, høj intensitet"
Cykling,1004,16,"Cykling, mountainbike, konkurrenceløb"
Cykling,1008,8.5,"Cykling, BMX"
Cykling,1009,8.5,"Cykling, mountainbike, generelt"
Cykling,1010,4,"Cykling, <16 km/t, fritid, til arbejde eller for fornøjelse (Taylor-kode 115)"
Cykling,1011,6.8,"Cykling, til/fra arbejde, selvvalgt tempo"
Cykling,1013,5.8,"Cykling, på grus- eller markvej, moderat tempo"
Cykling,1014,7,"Cykling, generelt"
Cykling,1015,4.3,"Cykling, selvvalgt roligt tempo"
Cykling,1016,7,"Cykling, selvvalgt moderat tempo"
Cykling,1017,9,"Cykling, selvvalgt højt tempo"
Cykling,1018,3.5,"Cykling, fritid, 9 km/t"
Cykling,1019,5.8,"Cykling, fritid, 15 km/t"
Cykling,1020,6.8,"Cykling, 16-19 km/t, fritid, langsomt, let indsats"
Cykling,1030,8,"Cykling, 19-22 km/t, fritid, moderat indsats"
Cykling,1040,10,"Cykling, 22-25 km/t, løb eller fritid, hurtigt, hård indsats"
Cykling,1050,12,"Cykling, 25-30 km/t, løb/uden læ eller >30 km/t i læ, meget hurtigt, løb generelt"
Cykling,1060,16.8,"Cykling, >32 km/t, løb, uden læ"
Cykling,1065,8.5,"Cykling, 19 km/t, siddende, hænder på bremsegreb eller i bøjlen, 80 omdr./min"
Cykling,1066,9,"Cykling, 19 km/t, stående, hænder på bremsegreb, 60 omdr./min"
Cykling,1070,5,Et-hjulet cykling
Cykling,1080,6.8,"Elcykel, uden motorhjælp"
Cykling,1084,6,"Elcykel, med let motorhjælp"
Cykling,1088,4,"Elcykel, med kraftig motorhjælp"
Cykling,1200,6.8,"Cykling, kondicykel, generelt"
Cykling,1210,3.5,"Cykling, kondicykel, 25-30 watt, meget let til let indsats"
Cykling,1214,4,"Cykling, kondicykel, 50 watt, let indsats"
Cykling,1216,5,"Cykling, kondicykel, 60 watt, let til moderat indsats"
Cykling,1218,5.8,"Cykling, kondicykel, 70-80 watt"
Cykling,1220,6,"Cykling, kondicykel, 90-100 watt, moderat til hård indsats"
Cykling,1224,6.8,"Cykling, kondicykel, 101-125 watt"
Cykling,1228,8,"Cykling, kondicykel, 126-150 watt"
Cykling,1232,10.3,"Cykling, kondicykel, 151-199 watt"
Cykling,1236,10.8,"Cykling, kondicykel, 200-229 watt, hård indsats"
Cykling,1240,12.5,"Cykling, kondicykel, 230-250 watt, meget hård indsats"
Cykling,1244,13.8,"Cykling, kondicykel, 270-305 watt, meget hård indsats"
Cykling,1248,16.3,"Cykling, kondicykel, >325 watt, meget hård indsats"
Cykling,1252,5.5,"Cykling, kun koncentrisk, 100 W"
Cykling,1254,11,"Cykling, kun koncentrisk, 200 W"
Cykling,1262,2.3,"Cykling, kun excentrisk, 100 til 149 W"
Cykling,1264,4,"Cykling, kun excentrisk, 200 W"
Cykling,1270,9,"Cykling, kondicykel, RPM/spinninghold"
Cykling,1290,8.8,"Cykling, interaktiv virtuel cykling, indendørs cykelergometer"
Cykling,1305,8.8,"Cykling, højintensiv intervaltræning (HIIT)"
Kondition og styrketræning,2000,7.3,"Aerobic, generelt"
Kondition og styrketræning,2001,5.5,"Step-aerobic, 10 cm trin"
Kondition og styrketræning,2002,7.3,"Step-aerobic, 15-20 cm trin"
Kondition og styrketræning,2003,9,"Step-aerobic, 25-30 cm trin"
Kondition og styrketræning,2004,7.8,"Step-holdtræning, generelt"
Kondition og styrketræning,2005,4.8,"Aerobic-dans, low impact, moderat indsats"
Kondition og styrketræning,2006,8,"Aerobic-dans, high impact, hård indsats"
Kondition og styrketræning,2007,10,"Aerobic-dans med 4,5-7 kg vægte"
Kondition og styrketræning,2008,5,"Militær forhindringsbane, boot camp-træningsprogram"
Kondition og styrketræning,2020,7.5,"Kropsvægtstræning (f.eks. armbøjninger, mavebøjninger, kropshævninger, englehop, burpees, battle ropes), hård indsats"
Kondition og styrketræning,2022,3.8,"Kropsvægtstræning (f.eks. armbøjninger, mavebøjninger, kropshævninger, lunges), moderat indsats"
Kondition og styrketræning,2024,2.8,"Kropsvægtstræning (f.eks. maveøvelser, planken), let indsats"
Kondition og styrketræning,2030,3.5,"Kropsvægtstræning, let eller moderat indsats, generelt (f.eks. rygøvelser), op og ned fra gulvet (Taylor-kode 150)"
Kondition og styrketræning,2032,6,"Cirkeltræning, kropsvægtsøvelser"
Kondition og styrketræning,2034,3.5,"Cirkeltræning, let indsats"
Kondition og styrketræning,2035,5,"Cirkeltræning, moderat indsats"
Kondition og styrketræning,2040,7.5,"Cirkeltræning (inkl. kettlebells, lidt aerob bevægelse med minimal hvile), generelt, høj intensitet"
Kondition og styrketræning,2045,3.5,Curves™ træningsrutiner for kvinder
Kondition og styrketræning,2048,5,"Crosstrainer (elliptisk maskine), moderat indsats"
Kondition og styrketræning,2049,9,"Crosstrainer (elliptisk maskine), hård indsats"
Kondition og styrketræning,2052,5,"Styrke- / vægttræning, squats, dødløft, langsom eller eksplosiv indsats"
Kondition og styrketræning,2054,3.5,"Styrke- / vægttræning, flere øvelser, 8-15 gentagelser ved varieret modstand"
Kondition og styrketræning,2055,5.8,"Styrketræning, cirkeltræning, supersets, PHA-træning"
Kondition og styrketræning,2056,3,"Kropsvægtstræning (f.eks. squat, lunge, armbøjning, mavebøjning), generelt"
Kondition og styrketræning,2057,6.5,"Kropsvægtstræning (f.eks. squat, lunge, armbøjning, mavebøjning), høj intensitet"
Kondition og styrketræning,2058,9.8,Kettlebell swings
Kondition og styrketræning,2060,5.5,"Træningscenter (fitness), generelt (Taylor-kode 160)"
Kondition og styrketræning,2061,5,"Holdtræning i fitnesscenter generelt, kondition og vægttræning kombineret i ét besøg"
Kondition og styrketræning,2062,7.8,"Træningscenter (fitness), konditionshold"
Kondition og styrketræning,2064,3.8,"Hjemmetræning, generelt"
Kondition og styrketræning,2065,9.3,"Trappemaskine (stairmaster), generelt"
Kondition og styrketræning,2068,11,"Sjippetovstræning, generelt"
Kondition og styrketræning,2069,9,"Sjippetov, Digi-Jump maskine, 120 hop/minut"
Kondition og styrketræning,2070,7.3,"Roning, romaskine, generelt, hård indsats"
Kondition og styrketræning,2071,5,"Roning, romaskine, generelt, <100 watt, moderat indsats"
Kondition og styrketræning,2072,7.5,"Roning, romaskine, 100 til 149 watt, hård indsats"
Kondition og styrketræning,2073,11,"Roning, romaskine, 150 til 199 watt, hård indsats"
Kondition og styrketræning,2074,14,"Roning, romaskine, ≥ 200 watt, meget hård indsats"
Kondition og styrketræning,2078,11,Shuttle run (løb frem/tilbage/sidelæns)
Kondition og styrketræning,2080,6.8,"Skimaskine, generelt"
Kondition og styrketræning,2082,10.5,"Skiergometer (stager), langrend, dobbelt stavtag, langsom til moderat hastighed"
Kondition og styrketræning,2084,18,"Skiergometer (stager), langrend, dobbelt stavtag, hurtig til maksimal hastighed"
Kondition og styrketræning,2085,10.5,"Slide board-træning, generelt"
Kondition og styrketræning,2090,6,"Slimnastics, jazzercise"
Kondition og styrketræning,2101,2.3,"Udstrækning, let"
Kondition og styrketræning,2103,1.8,"Pilates, traditionel, på måtte"
Kondition og styrketræning,2105,2.8,"Pilates, generelt"
Kondition og styrketræning,2107,8.5,Pound (kombination af pilates og kropsbevægelser med trommestikker)
Kondition og styrketræning,2108,4.5,Pole dancing (holdtræning)
Kondition og styrketræning,2110,6.8,"Undervise i holdtræning (f.eks. aerobic, vandgymnastik)"
Kondition og styrketræning,2112,2.8,"Træningsbold (Fitball), træning"
Kondition og styrketræning,2114,9.5,"Træningsbold (Fitball), træning, høj intensitet"
Kondition og styrketræning,2115,2.8,"Overkropstræning, armcykel, generelt, let"
Kondition og styrketræning,2116,2,"Armcykel, 15W"
Kondition og styrketræning,2117,2.8,"Armcykel, 25-30W"
Kondition og styrketræning,2118,3.5,"Armcykel, 45W"
Kondition og styrketræning,2119,4.3,"Overkropstræning, motionscykel med arme (Airdyne, kun arme) 40 omdr/min, moderat intensitet"
Kondition og styrketræning,2120,5.3,"Vandaerobic, vandgymnastik, træning i vand"
Kondition og styrketræning,2135,1.3,"Spabad, siddende"
Kondition og styrketræning,2140,2.5,"Videotræning, tv-programmer (f.eks. yoga, udstrækning, siddende), let indsats"
Kondition og styrketræning,2143,4,"Videotræning, tv-programmer (f.eks. cardio-styrketræning), moderat indsats"
Kondition og styrketræning,2145,6,"Videotræning, tv-programmer (f.eks. cardio-styrketræning), hård indsats"
Kondition og styrketræning,2150,2.3,"Yoga, Hatha"
Kondition og styrketræning,2153,8,"Yoga, Hatha, høj intensitet"
Kondition og styrketræning,2155,3,"Yoga, Hot yoga"
Kondition og styrketræning,2160,4,"Yoga, Power yoga"
Kondition og styrketræning,2170,2,"Yoga, Nadi Shodhana (åndedrætsøvelser)"
Kondition og styrketræning,2175,2.3,"Yoga, Generelt"
Kondition og styrketræning,2180,3.5,"Yoga, Surya Namaskar (Solhilsen)"
Kondition og styrketræning,2185,2.7,"Yoga, Vinyasa"
Kondition og styrketræning,2200,5.3,"Newzealandsk indfødt aktivitet (f.eks. Haka, Poi), generelt moderat indsats"
Kondition og styrketræning,2205,6.8,"Newzealandsk indfødt aktivitet, generelt, hård indsats"
Kondition og styrketræning,2210,7,"Højintensiv intervaltræning, moderat indsats"
Kondition og styrketræning,2214,11,"Højintensiv intervaltræning, burpees, mountain climbers, squat jumps, Tabata, hård indsats"
Kondition og styrketræning,2225,2.3,"Balance Exercise Assist Robot (BEAR), simuleret skiløb, tennis, rodeo"
Kondition og styrketræning,2230,5.8,Hulahopring
Kondition og styrketræning,2240,9,"Impulse Training System, inertitræningsmaskine"
Kondition og styrketræning,2280,7.9,"Virtual Reality Fitness (Supernatural™ Flow, boksning), høj intensitet"
Kondition og styrketræning,2284,9.3,"ExerCube, træningsserie"
Kondition og styrketræning,2288,13,"Blackbox virtual reality træningssystem, høj intensitet"
Kondition og styrketræning,2300,3,"Stavtræning, Life-Build-Line"
Kondition og styrketræning,2310,6.5,"Zumba, holdtræning"
Kondition og styrketræning,2315,5.5,"Zumba, hjemmevideo"
Kondition og styrketræning,2340,2.8,"Rejse-sætte-sig-øvelse, 6-12 gange/min"
Kondition og styrketræning,2344,4,"Rejse-sætte-sig-øvelse, 18-24 gange/min"
Dans,3005,6,"Afrocubansk salsa (cubansk cha-cha-cha, mambo, afro-rumba osv.)"
Dans,3010,5,"Ballet, moderne dans eller jazzdans, generelt, prøve eller undervisning"
Dans,3011,6.3,"Balletøvelser (plié, tendu, jeté, rond de jambe osv.)"
Dans,3012,6.8,"Ballet, moderne dans eller jazzdans, forestilling, hård indsats"
Dans,3014,4.8,Stepdans
Dans,3025,4.5,"Etnisk eller kulturel dans (f.eks. græsk, mellemøstlig, mavedans, flamenco, swing)"
Dans,3028,5.5,"Kinesisk square dance, ballet & tibetansk dans"
Dans,3029,7.3,"Kinesisk square dance, aerobic"
Dans,3030,5.5,"Selskabsdans, hurtig (Taylor-kode 125)"
Dans,3031,9.8,"Natklub- eller folkedans, hård indsats (f.eks. disco, linedance, irsk step, polka)"
Dans,3033,5,"Folkedans, moderat indsats"
Dans,3038,11.3,"Selskabsdans, konkurrence, generelt"
Dans,3040,3,"Selskabsdans, langsom (f.eks. vals, foxtrot, samba, tango, rumba, cha-cha-cha)"
Dans,3042,6,"Selskabsdans, fritid (vals, foxtrot, cha-cha-cha, swing)"
Dans,3050,5.5,"Traditionel indiansk dans (f.eks. Jingle dance), rask tempo, moderat indsats"
Dans,3070,3.8,"Contemporary (moderne) dans, generelt"
Dans,3072,4.3,"Contemporary (moderne) dans, natklub"
Dans,3075,8.5,Flamencodans
Dans,3078,4.5,"Jazzdans, generelt"
Dans,3080,10.3,"Musicalteater, sang og dans"
Dans,3085,5.8,"Polynesisk dans, hawaiiansk hula (langsom), maori haka, tongansk"
Dans,3086,7,"Polynesisk dans, hawaiiansk hula (hurtig), samoansk sasa, filippinsk tinikling"
Dans,3087,8.8,"Polynesisk dans, samoansk slap dance, tahitiansk"
Dans,3090,4.8,"Salsadans, med partner"
Dans,3091,6.3,"Salsadans, til en video"
Dans,3093,5.5,"Square dance, country/western"
Fiskeri og jagt,4001,3.5,"Fiskeri, generelt"
Fiskeri og jagt,4005,4.5,Krabbe-fiskeri
Fiskeri og jagt,4007,4,"Fiskeri, fange fisk med hænderne"
Fiskeri og jagt,4010,4.3,"Fiskerelateret, grave orm med skovl"
Fiskeri og jagt,4020,4,Fiskeri fra flodbred og gående
Fiskeri og jagt,4030,2,"Fiskeri fra båd eller kano, siddende"
Fiskeri og jagt,4040,3.5,"Fiskeri fra flodbred, stående (Taylor-kode 660)"
Fiskeri og jagt,4050,6,"Fiskeri i å/vandløb, iført waders (Taylor-kode 670)"
Fiskeri og jagt,4060,2,"Isfiskeri, siddende"
Fiskeri og jagt,4061,1.8,"Fiskeri med pirk eller snøre, stående, generelt"
Fiskeri og jagt,4062,3.5,"Fiskeri med sænkenet, sætte net og fange fisk, generelt"
Fiskeri og jagt,4063,3.8,"Fiskeri med garn, sætte garn og fange fisk, generelt"
Fiskeri og jagt,4064,3,"Fiskeri med fiskehjul, sætte net og fange fisk, generelt"
Fiskeri og jagt,4065,2.3,"Fiskeri med spyd, stående"
Fiskeri og jagt,4070,2.5,"Jagt, bue og pil eller armbrøst"
Fiskeri og jagt,4080,6,"Jagt, hjort, elg, storvildt (Taylor-kode 170)"
Fiskeri og jagt,4081,9.8,"Jagt på storvildt, trække byttet"
Fiskeri og jagt,4083,4,Jagt på store havdyr
